NEXT;FNEXT;SNEXT;GNEXT;Waju;
PREV;FPREV;SPREV;GPREV;Eyin;
Please Swipe Card;FPlease Swipe Card;SPlease Swipe Card;GPlease Swipe Card; Ejo e fi card si;
CARD READ!;FCARD READ!;SCARD READ!;GCARD READ;Mo ri card;
Please Swipe Again;FPlease Swipe Again;SPlease Swipe Again;GPlease Swipe Again;Ejo E Tun Swipe;
Cancelled;FCancelled;SCancelled;SCancelled;Pada;
Last;FLast;SLast;GLast;Akoko;
First;FFirst;SFirst;GFirst;Igbeyin;
Digits of card;FDigits of card;SDigits of card;GDigits of card;numba kaadi yii;
Bad Validation Input;FBad Validation Input;SBad Validation Input;GBad Validation Input;Validation yii koda;
Invalid Pan;FInvalid Pan;SInvalid Pan;GInvalid Pan ;PAN re oda;
Unknown Validation Type;FUnknown Validation Type;SUnknown Validation Type;GUnknown Validation Type;Mio mo validation yii;
Pin Error;FPin Error;SPin Error;GPin Error;PIN re oda;
Enter Pin;FEnter Pin;SEnter Pin;GEnter Pin;Te PIN wole;
Please Wait...;FPlease Wait...;SPlease Wait...;GPlease Wait;Duro Monbo...;
BAD BATTERY CONFIG;FBAD BATT CONFI;FBAD BATT CONFI;FBAD BATT CONFI;BATIRI CONFIG KODA;
CONFIGURATION FAILED!;FCONFIGURATION FAILED!;SCONFIGURATION FAILED!;GCONFIGURATION FAILED!;CONFIGURATION FAILI!;
SHUTTING DOWN...;FSHUTTING DOWN...;SSHUTTING DOWN...;GSHUTTING DOWN...;ON KU LO...;
BOOTING...;FBOOTING...;SBOOTING...;GBOOTING...;On ji...;
Battery Level Too Low! Please plug charger;FBattery level too low!;SBattery level too low!;GBattery level too low!;Batiri to low ju. E ki tamina bi ina;
Warning! Terminals without batteries are bad for EFT;FWarning! No Batt terminals are bad for EFT;SWarning! No Batt terminals are bad for EFT;GWarning! No Batt terminals are bad for EFT;Termina ti o ni battiri ko da fun eft;
Memory Statistics;FMemory Statistics;SMemory Statistics;GMemory Statistics;Iye Memory to wa;
Insufficient Memory for Reliable operation. Delete Some Logs or call support.;FInsufficient Memory for Reliable operation. Pls call support.;SInsufficient Memory for Reliable operation. Pls call support.;GInsufficient Memory for Reliable operation. Pls call support.;Memory to wa o to. E yo awon ifipamo to wa tabi ki pe support;
Free Space:;FFree Space:;SFree Space:;GFree Space:;Memory to wa:;
